old_name,new_name,brand,art_number,color,price,status,error
WhatsApp Image 2026-07-10 at 1.37.09 PM (51).jpeg,Walkaroo_BX2672_Brown_269.jpeg,Walkaroo,BX2672,Brown,269,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (52).jpeg,Walkaroo_WE2023_Beige_499.jpeg,Walkaroo,WE2023,Beige,499,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (53).jpeg,Walkaroo_BX2554_Burgundy_299.jpeg,Walkaroo,BX2554,Burgundy,299,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (54).jpeg,Walkaroo_WLR72017_Brown_269.jpeg,Walkaroo,WLR72017,Brown,269,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (55).jpeg,Walkaroo_WLR72017_PLUM_269.jpeg,Walkaroo,WLR72017,PLUM,269,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (56).jpeg,Walkaroo_WE2349_Purple_379.jpeg,Walkaroo,WE2349,Purple,379,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (57).jpeg,Walkaroo_WLR74019_DUSTY_ON_379.jpeg,Walkaroo,WLR74019,DUSTY_ON,379,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (58).jpeg,Walkaroo_WLR72077_Black_359.jpeg,Walkaroo,WLR72077,Black,359,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (59).jpeg,Walkaroo_WLR72042_Sand_329.jpeg,Walkaroo,WLR72042,Sand,329,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (6).jpeg,Walkaroo_WLR71215_Beige_299_2.jpeg,Walkaroo,WLR71215,Beige,299,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (60).jpeg,Walkaroo_BX2554_Blue_299.jpeg,Walkaroo,BX2554,Blue,299,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (61).jpeg,Walkaroo_WL7554_Olive_379.jpeg,Walkaroo,WL7554,Olive,379,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (62).jpeg,Walkaroo_BX2554_Black_299.jpeg,Walkaroo,BX2554,Black,299,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (63).jpeg,Walkaroo_WLP78050_Olive_499.jpeg,Walkaroo,WLP78050,Olive,499,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (64).jpeg,Walkaroo_WE1347_Olive_749.jpeg,Walkaroo,WE1347,Olive,749,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (65).jpeg,Walkaroo_WC8800_White_269.jpeg,Walkaroo,WC8800,White,269,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (66).jpeg,Walkaroo_Unknown_JK_F_339.jpeg,Walkaroo,,JK_F,339,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (67).jpeg,Walkaroo_WC4843_Grey_314.jpeg,Walkaroo,WC4843,Grey,314,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (68).jpeg,Walkaroo_WC4843_Grey_314_2.jpeg,Walkaroo,WC4843,Grey,314,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (69).jpeg,Walkaroo_Unknown_Olive_479.jpeg,Walkaroo,,Olive,479,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (7).jpeg,Walkaroo_BX2669_IALKAVOO_259.jpeg,Walkaroo,BX2669,IALKAVOO,259,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (70).jpeg,Walkaroo_WC8737_Grey_299.jpeg,Walkaroo,WC8737,Grey,299,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (71).jpeg,Walkaroo_WC4823_Grey_289.jpeg,Walkaroo,WC4823,Grey,289,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (72).jpeg,Walkaroo_Unknown_Khaki_439.jpeg,Walkaroo,,Khaki,439,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (73).jpeg,Walkaroo_Unknown_Black_439.jpeg,Walkaroo,,Black,439,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (74).jpeg,Walkaroo_WC8819_Tan_279.jpeg,Walkaroo,WC8819,Tan,279,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (75).jpeg,Walkaroo_WC4829_White_359.jpeg,Walkaroo,WC4829,White,359,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (76).jpeg,Walkaroo_FLR43110_Beige_329.jpeg,Walkaroo,FLR43110,Beige,329,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (77).jpeg,Walkaroo_WC4865_Peach_299_2.jpeg,Walkaroo,WC4865,Peach,299,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (78).jpeg,Walkaroo_Unknown_Tan_439_2.jpeg,Walkaroo,,Tan,439,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (8).jpeg,Walkaroo_WL7673_Standard_299.jpeg,Walkaroo,WL7673,Standard,299,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (9).jpeg,Walkaroo_BX2672_Blue_264.jpeg,Walkaroo,BX2672,Blue,264,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM.jpeg,Walkaroo_Unknown_Tan_289.jpeg,Walkaroo,,Tan,289,ok,
WhatsApp Image 2026-07-10 at 1.43.22 PM (1).jpeg,Walkaroo_WER332_CUSUION_NE_ZG_519.jpeg,Walkaroo,WER332,CUSUION_NE_ZG,519,ok,
